time,level,thread,logger,method,message,exception
14-12-01 11:57:42.62,Info,1,ZvmConsole,InitializeTweaks,Reading tweaks files from C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote,
14-12-01 11:57:42.62,Info,1,ZvmConsole,InitializeTweaks,Reading tweaks files from C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote,
14-12-01 11:57:42.62,Info,1,ZvmConsole,InitializeTweaks,Reading tweaks files from C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile stream reader filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile stream reader filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Info,1,Tweaks,ReadTweaksFile,ReadTweaksFile stream reader filename:C:\Repositories\karlite_u4a\bin\UnitTests\debug_remote/tweaks.txt,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_ZvmConnectorReconnectionIntervalMs = 3000,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_ZvmConnectorReconnectionIntervalMs = 3000,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_NumOfPagesPerMinute = 10,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_NumOfPagesPerMinute = 10,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_ZvmDisableRollback = 0,
14-12-01 11:57:42.69,Debug,1,Tweaks,ReadTweaksFile,Tweaks: t_ZvmDisableRollback = 0,
